id,family,series,designation,display_name,nominal_pipe_size,major_diameter_mm,pitch_mm,tpi,profile_angle_deg,pitch_diameter_mm,minor_diameter_male_mm,tap_drill_mm,radial_thread_depth_mm,is_default_pitch,tap_drill_basis,depth_basis,standard_reference,source_url,profile_source_url,data_version,verification_status
bsp-g-1_16,bsp,G,G1/16,G1/16,"1/16""",7.722,0.907,28,55,7.142,6.561,6.70,0.581,true,published practical BSPP/G cutting-tap drill table,published Whitworth thread height,ISO 228 BSPP,https://www.ring-plug-thread-gages.com/PDChart/G-series-Fine-thread-data.html,https://www.engineeringtoolbox.com/G-R-Rp-Whitworth-thread-BSPP-BSPT-d_2035.html,2026-07-26-v2,engineering_dataset_not_certified
bsp-g-1_8,bsp,G,G1/8,G1/8,"1/8""",9.728,0.907,28,55,9.147,8.566,8.70,0.581,true,published practical BSPP/G cutting-tap drill table,published Whitworth thread height,ISO 228 BSPP,https://www.ring-plug-thread-gages.com/PDChart/G-series-Fine-thread-data.html,https://www.engineeringtoolbox.com/G-R-Rp-Whitworth-thread-BSPP-BSPT-d_2035.html,2026-07-26-v2,engineering_dataset_not_certified
bsp-g-1_4,bsp,G,G1/4,G1/4,"1/4""",13.157,1.337,19,55,12.301,11.445,11.60,0.856,true,published practical BSPP/G cutting-tap drill table,published Whitworth thread height,ISO 228 BSPP,https://www.ring-plug-thread-gages.com/PDChart/G-series-Fine-thread-data.html,https://www.engineeringtoolbox.com/G-R-Rp-Whitworth-thread-BSPP-BSPT-d_2035.html,2026-07-26-v2,engineering_dataset_not_certified
bsp-g-3_8,bsp,G,G3/8,G3/8,"3/8""",16.662,1.337,19,55,15.806,14.950,15.00,0.856,true,published practical BSPP/G cutting-tap drill table,published Whitworth thread height,ISO 228 BSPP,https://www.ring-plug-thread-gages.com/PDChart/G-series-Fine-thread-data.html,https://www.engineeringtoolbox.com/G-R-Rp-Whitworth-thread-BSPP-BSPT-d_2035.html,2026-07-26-v2,engineering_dataset_not_certified
bsp-g-1_2,bsp,G,G1/2,G1/2,"1/2""",20.955,1.814,14,55,19.793,18.631,19.00,1.162,true,published practical BSPP/G cutting-tap drill table,published Whitworth thread height,ISO 228 BSPP,https://www.ring-plug-thread-gages.com/PDChart/G-series-Fine-thread-data.html,https://www.engineeringtoolbox.com/G-R-Rp-Whitworth-thread-BSPP-BSPT-d_2035.html,2026-07-26-v2,engineering_dataset_not_certified
bsp-g-5_8,bsp,G,G5/8,G5/8,"5/8""",22.911,1.814,14,55,21.749,20.587,20.75,1.162,true,published practical BSPP/G cutting-tap drill table,published Whitworth thread height,ISO 228 BSPP,https://www.ring-plug-thread-gages.com/PDChart/G-series-Fine-thread-data.html,https://www.engineeringtoolbox.com/G-R-Rp-Whitworth-thread-BSPP-BSPT-d_2035.html,2026-07-26-v2,engineering_dataset_not_certified
bsp-g-3_4,bsp,G,G3/4,G3/4,"3/4""",26.441,1.814,14,55,25.279,24.117,24.50,1.162,true,published practical BSPP/G cutting-tap drill table,published Whitworth thread height,ISO 228 BSPP,https://www.ring-plug-thread-gages.com/PDChart/G-series-Fine-thread-data.html,https://www.engineeringtoolbox.com/G-R-Rp-Whitworth-thread-BSPP-BSPT-d_2035.html,2026-07-26-v2,engineering_dataset_not_certified
bsp-g-7_8,bsp,G,G7/8,G7/8,"7/8""",30.201,1.814,14,55,29.039,27.877,28.00,1.162,true,published practical BSPP/G cutting-tap drill table,published Whitworth thread height,ISO 228 BSPP,https://www.ring-plug-thread-gages.com/PDChart/G-series-Fine-thread-data.html,https://www.engineeringtoolbox.com/G-R-Rp-Whitworth-thread-BSPP-BSPT-d_2035.html,2026-07-26-v2,engineering_dataset_not_certified
bsp-g-1,bsp,G,G1,G1,"1""",33.249,2.309,11,55,31.770,30.291,30.50,1.479,true,published practical BSPP/G cutting-tap drill table,published Whitworth thread height,ISO 228 BSPP,https://www.ring-plug-thread-gages.com/PDChart/G-series-Fine-thread-data.html,https://www.engineeringtoolbox.com/G-R-Rp-Whitworth-thread-BSPP-BSPT-d_2035.html,2026-07-26-v2,engineering_dataset_not_certified
bsp-g-1_1_8,bsp,G,G1-1/8,G1-1/8,"1-1/8""",37.897,2.309,11,55,36.418,34.939,35.00,1.479,true,published practical BSPP/G cutting-tap drill table,published Whitworth thread height,ISO 228 BSPP,https://www.ring-plug-thread-gages.com/PDChart/G-series-Fine-thread-data.html,https://www.engineeringtoolbox.com/G-R-Rp-Whitworth-thread-BSPP-BSPT-d_2035.html,2026-07-26-v2,engineering_dataset_not_certified
