id,family,series,designation,display_name,nominal_pipe_size,pipe_outside_diameter_mm,pitch_mm,tpi,profile_angle_deg,taper_ratio_diameter,taper_half_angle_deg,tap_drill_mm,radial_thread_depth_mm,E0_pitch_diameter_pipe_end_mm,K0_minor_diameter_pipe_end_mm,L1_hand_tight_length_mm,E1_pitch_diameter_L1_mm,L5_last_complete_thread_mm,E5_pitch_diameter_L5_mm,L2_effective_thread_length_mm,E2_pitch_diameter_L2_mm,L3_wrench_makeup_length_mm,E3_pitch_diameter_wrench_plane_mm,L4_overall_thread_length_mm,V_vanish_thread_length_mm,is_default_pitch,tap_drill_basis,geometry_basis,standard_reference,data_version,verification_status
npt-1_8-27,npt,NPT,1/8,1/8-27 NPT,1/8,10.287,0.9407,27,60,1:16,1.7899,8.433,0.753,9.233,8.479,4.102,9.489,4.821,9.534,6.703,9.652,2.822,9.057,9.967,3.264,true,practical cutting-tap drill; separate from K0 basic minor diameter,ASME B1.20.1 basic NPT geometry,ASME B1.20.1 NPT,2026-08-19-v3,geometry_cross_checked_against_published_ASME_B1.20.1_tables
npt-1_4-18,npt,NPT,1/4,1/4-18 NPT,1/4,13.716,1.4111,18,60,1:16,1.7899,11.112,1.129,12.126,10.996,5.786,12.487,7.384,12.587,10.206,12.763,4.234,11.861,15.103,4.897,true,practical cutting-tap drill; separate from K0 basic minor diameter,ASME B1.20.1 basic NPT geometry,ASME B1.20.1 NPT,2026-08-19-v3,geometry_cross_checked_against_published_ASME_B1.20.1_tables
npt-3_8-18,npt,NPT,3/8,3/8-18 NPT,3/8,17.145,1.4111,18,60,1:16,1.7899,14.287,1.129,15.545,14.414,6.096,15.926,7.536,16.016,10.358,16.192,4.234,15.281,15.255,4.897,true,practical cutting-tap drill; separate from K0 basic minor diameter,ASME B1.20.1 basic NPT geometry,ASME B1.20.1 NPT,2026-08-19-v3,geometry_cross_checked_against_published_ASME_B1.20.1_tables
npt-1_2-14,npt,NPT,1/2,1/2-14 NPT,1/2,21.336,1.8143,14,60,1:16,1.7899,17.859,1.451,19.264,17.816,8.128,19.772,9.929,19.885,13.556,20.111,5.443,18.924,19.850,6.297,true,practical cutting-tap drill; separate from K0 basic minor diameter,ASME B1.20.1 basic NPT geometry,ASME B1.20.1 NPT,2026-08-19-v3,geometry_cross_checked_against_published_ASME_B1.20.1_tables
npt-3_4-14,npt,NPT,3/4,3/4-14 NPT,3/4,26.670,1.8143,14,60,1:16,1.7899,23.019,1.451,24.579,23.129,8.611,25.117,10.234,25.219,13.861,25.445,5.443,24.239,20.155,6.297,true,practical cutting-tap drill; separate from K0 basic minor diameter,ASME B1.20.1 basic NPT geometry,ASME B1.20.1 NPT,2026-08-19-v3,geometry_cross_checked_against_published_ASME_B1.20.1_tables
npt-1-11.5,npt,NPT,1,1-11.5 NPT,1,33.401,2.2087,11.5,60,1:16,1.7899,28.972,1.767,30.826,29.060,10.160,31.461,12.926,31.634,17.343,31.910,6.627,30.412,25.006,7.663,true,practical cutting-tap drill; separate from K0 basic minor diameter,ASME B1.20.1 basic NPT geometry,ASME B1.20.1 NPT,2026-08-19-v3,geometry_cross_checked_against_published_ASME_B1.20.1_tables
npt-1-1_4-11.5,npt,NPT,1 1/4,1 1/4-11.5 NPT,1 1/4,42.164,2.2087,11.5,60,1:16,1.7899,37.703,1.767,39.551,37.785,10.668,40.218,13.536,40.397,17.953,40.673,6.627,39.137,25.616,7.663,true,practical cutting-tap drill; separate from K0 basic minor diameter,ASME B1.20.1 basic NPT geometry,ASME B1.20.1 NPT,2026-08-19-v3,geometry_cross_checked_against_published_ASME_B1.20.1_tables
npt-1-1_2-11.5,npt,NPT,1 1/2,1 1/2-11.5 NPT,1 1/2,48.260,2.2087,11.5,60,1:16,1.7899,43.656,1.767,45.621,43.856,10.668,46.287,13.960,46.493,18.377,46.769,6.627,45.206,26.040,7.663,true,practical cutting-tap drill; separate from K0 basic minor diameter,ASME B1.20.1 basic NPT geometry,ASME B1.20.1 NPT,2026-08-19-v3,geometry_cross_checked_against_published_ASME_B1.20.1_tables
npt-2-11.5,npt,NPT,2,2-11.5 NPT,2,60.325,2.2087,11.5,60,1:16,1.7899,55.562,1.767,57.633,55.867,11.074,58.325,14.798,58.558,19.215,58.834,6.627,57.219,26.878,7.663,true,practical cutting-tap drill; separate from K0 basic minor diameter,ASME B1.20.1 basic NPT geometry,ASME B1.20.1 NPT,2026-08-19-v3,geometry_cross_checked_against_published_ASME_B1.20.1_tables
npt-2-1_2-8,npt,NPT,2 1/2,2 1/2-8 NPT,2 1/2,73.025,3.1750,8,60,1:16,1.7899,,2.540,69.076,66.536,17.323,70.159,22.542,70.485,28.892,70.882,6.350,69.762,39.908,11.016,true,not populated; use K0 as ASME geometry reference and select actual drill per tooling/process,ASME B1.20.1 published core dimensions; dependent values derived from 1:16 taper and NPT profile,ASME B1.20.1 NPT,2026-08-19-v3,core_dimensions_cross_checked; derived_geometry_flagged; tap_drill_requires_tooling_selection
npt-3-8,npt,NPT,3,3-8 NPT,3,88.900,3.1750,8,60,1:16,1.7899,,2.540,84.852,82.312,19.456,86.068,24.130,86.360,30.480,86.757,6.350,85.671,41.496,11.016,true,not populated; use K0 as ASME geometry reference and select actual drill per tooling/process,ASME B1.20.1 published core dimensions; dependent values derived from 1:16 taper and NPT profile,ASME B1.20.1 NPT,2026-08-19-v3,core_dimensions_cross_checked; derived_geometry_flagged; tap_drill_requires_tooling_selection
npt-3-1_2-8,npt,NPT,3 1/2,3 1/2-8 NPT,3 1/2,101.600,3.1750,8,60,1:16,1.7899,,2.540,97.472,94.932,20.853,98.776,25.400,99.060,31.750,99.457,6.350,98.379,42.766,11.016,true,not populated; use K0 as ASME geometry reference and select actual drill per tooling/process,ASME B1.20.1 published core dimensions; dependent values derived from 1:16 taper and NPT profile,ASME B1.20.1 NPT,2026-08-19-v3,core_dimensions_cross_checked; derived_geometry_flagged; tap_drill_requires_tooling_selection
npt-4-8,npt,NPT,4,4-8 NPT,4,114.300,3.1750,8,60,1:16,1.7899,,2.540,110.093,107.553,21.438,111.433,26.670,111.760,33.020,112.157,6.350,111.036,44.036,11.016,true,not populated; use K0 as ASME geometry reference and select actual drill per tooling/process,ASME B1.20.1 published core dimensions; dependent values derived from 1:16 taper and NPT profile,ASME B1.20.1 NPT,2026-08-19-v3,core_dimensions_cross_checked; derived_geometry_flagged; tap_drill_requires_tooling_selection
npt-5-8,npt,NPT,5,5-8 NPT,5,141.300,3.1750,8,60,1:16,1.7899,,2.540,136.924,134.384,23.800,138.412,29.370,138.760,35.720,139.157,6.350,138.015,46.736,11.016,true,not populated; use K0 as ASME geometry reference and select actual drill per tooling/process,ASME B1.20.1 published core dimensions; dependent values derived from 1:16 taper and NPT profile,ASME B1.20.1 NPT,2026-08-19-v3,core_dimensions_cross_checked; derived_geometry_flagged; tap_drill_requires_tooling_selection
npt-6-8,npt,NPT,6,6-8 NPT,6,168.275,3.1750,8,60,1:16,1.7899,,2.540,163.731,161.191,24.333,165.252,32.067,165.735,38.417,166.132,6.350,164.855,49.433,11.016,true,not populated; use K0 as ASME geometry reference and select actual drill per tooling/process,ASME B1.20.1 published core dimensions; dependent values derived from 1:16 taper and NPT profile,ASME B1.20.1 NPT,2026-08-19-v3,core_dimensions_cross_checked; derived_geometry_flagged; tap_drill_requires_tooling_selection
npt-8-8,npt,NPT,8,8-8 NPT,8,219.075,3.1750,8,60,1:16,1.7899,,2.540,214.214,211.674,26.987,215.901,37.147,216.536,43.497,216.933,6.350,215.504,54.513,11.016,true,not populated; use K0 as ASME geometry reference and select actual drill per tooling/process,ASME B1.20.1 published core dimensions; dependent values derived from 1:16 taper and NPT profile,ASME B1.20.1 NPT,2026-08-19-v3,core_dimensions_cross_checked; derived_geometry_flagged; tap_drill_requires_tooling_selection
npt-10-8,npt,NPT,10,10-8 NPT,10,273.050,3.1750,8,60,1:16,1.7899,,2.540,267.851,265.311,30.734,269.772,42.545,270.510,48.895,270.907,6.350,269.375,59.911,11.016,true,not populated; use K0 as ASME geometry reference and select actual drill per tooling/process,ASME B1.20.1 published core dimensions; dependent values derived from 1:16 taper and NPT profile,ASME B1.20.1 NPT,2026-08-19-v3,core_dimensions_cross_checked; derived_geometry_flagged; tap_drill_requires_tooling_selection
npt-12-8,npt,NPT,12,12-8 NPT,12,323.850,3.1750,8,60,1:16,1.7899,,2.540,318.333,315.793,34.544,320.492,47.625,321.310,53.975,321.707,6.350,320.095,64.991,11.016,true,not populated; use K0 as ASME geometry reference and select actual drill per tooling/process,ASME B1.20.1 published core dimensions; dependent values derived from 1:16 taper and NPT profile,ASME B1.20.1 NPT,2026-08-19-v3,core_dimensions_cross_checked; derived_geometry_flagged; tap_drill_requires_tooling_selection
npt-14-8,npt,NPT,14,14-8 NPT,14,355.600,3.1750,8,60,1:16,1.7899,,2.540,349.884,347.344,39.688,352.365,50.800,353.059,57.150,353.456,6.350,351.968,68.166,11.016,true,not populated; use K0 as ASME geometry reference and select actual drill per tooling/process,ASME B1.20.1 published core dimensions; dependent values derived from 1:16 taper and NPT profile,ASME B1.20.1 NPT,2026-08-19-v3,core_dimensions_cross_checked; derived_geometry_flagged; tap_drill_requires_tooling_selection
npt-16-8,npt,NPT,16,16-8 NPT,16,406.400,3.1750,8,60,1:16,1.7899,,2.540,400.367,397.827,46.037,403.244,55.880,403.859,62.230,404.256,6.350,402.847,73.246,11.016,true,not populated; use K0 as ASME geometry reference and select actual drill per tooling/process,ASME B1.20.1 published core dimensions; dependent values derived from 1:16 taper and NPT profile,ASME B1.20.1 NPT,2026-08-19-v3,core_dimensions_cross_checked; derived_geometry_flagged; tap_drill_requires_tooling_selection
npt-18-8,npt,NPT,18,18-8 NPT,18,457.200,3.1750,8,60,1:16,1.7899,,2.540,450.850,448.310,50.800,454.025,60.960,454.660,67.310,455.057,6.350,453.628,78.326,11.016,true,not populated; use K0 as ASME geometry reference and select actual drill per tooling/process,ASME B1.20.1 published core dimensions; dependent values derived from 1:16 taper and NPT profile,ASME B1.20.1 NPT,2026-08-19-v3,core_dimensions_cross_checked; derived_geometry_flagged; tap_drill_requires_tooling_selection
npt-20-8,npt,NPT,20,20-8 NPT,20,508.000,3.1750,8,60,1:16,1.7899,,2.540,501.332,498.792,53.975,504.706,66.040,505.460,72.390,505.857,6.350,504.309,83.406,11.016,true,not populated; use K0 as ASME geometry reference and select actual drill per tooling/process,ASME B1.20.1 published core dimensions; dependent values derived from 1:16 taper and NPT profile,ASME B1.20.1 NPT,2026-08-19-v3,core_dimensions_cross_checked; derived_geometry_flagged; tap_drill_requires_tooling_selection
npt-24-8,npt,NPT,24,24-8 NPT,24,609.600,3.1750,8,60,1:16,1.7899,,2.540,597.726,595.186,60.325,601.496,76.200,602.488,82.550,602.885,6.350,601.099,93.566,11.016,true,not populated; use K0 as ASME geometry reference and select actual drill per tooling/process,ASME B1.20.1 published core dimensions; dependent values derived from 1:16 taper and NPT profile,ASME B1.20.1 NPT,2026-08-19-v3,core_dimensions_cross_checked; derived_geometry_flagged; tap_drill_requires_tooling_selection
