id,family,series,designation,display_name,nominal_diameter_in,nominal_diameter_mm,tpi,pitch_in,pitch_mm,profile_angle_deg,basic_minor_diameter_internal_in,basic_minor_diameter_internal_mm,tap_drill_in,tap_drill_mm,radial_thread_depth_in,radial_thread_depth_mm,tap_drill_basis,depth_basis,standard_reference,source_url,data_version,verification_status
unified-unc-1_4-20,unified,UNC,1/4,1/4-20 UNC,0.2500,6.350,20,0.050000,1.2700,60,0.1959,4.975,0.2000,5.080,0.02706,0.6874,nominal diameter - pitch; cutting-tap starting value,0.541266 * pitch; Unified basic internal thread profile,ASME B1.1 UNC coarse series,https://www.flangeboltchart.com/thread/dimensions,2026-07-26-v2,engineering_dataset_not_certified
unified-unc-5_16-18,unified,UNC,5/16,5/16-18 UNC,0.3125,7.938,18,0.055556,1.4111,60,0.2524,6.410,0.2569,6.526,0.03007,0.7638,nominal diameter - pitch; cutting-tap starting value,0.541266 * pitch; Unified basic internal thread profile,ASME B1.1 UNC coarse series,https://www.flangeboltchart.com/thread/dimensions,2026-07-26-v2,engineering_dataset_not_certified
unified-unc-3_8-16,unified,UNC,3/8,3/8-16 UNC,0.3750,9.525,16,0.062500,1.5875,60,0.3073,7.806,0.3125,7.938,0.03383,0.8593,nominal diameter - pitch; cutting-tap starting value,0.541266 * pitch; Unified basic internal thread profile,ASME B1.1 UNC coarse series,https://www.flangeboltchart.com/thread/dimensions,2026-07-26-v2,engineering_dataset_not_certified
unified-unc-7_16-14,unified,UNC,7/16,7/16-14 UNC,0.4375,11.112,14,0.071429,1.8143,60,0.3602,9.148,0.3661,9.298,0.03866,0.9820,nominal diameter - pitch; cutting-tap starting value,0.541266 * pitch; Unified basic internal thread profile,ASME B1.1 UNC coarse series,https://www.flangeboltchart.com/thread/dimensions,2026-07-26-v2,engineering_dataset_not_certified
unified-unc-1_2-13,unified,UNC,1/2,1/2-13 UNC,0.5000,12.700,13,0.076923,1.9538,60,0.4167,10.585,0.4231,10.746,0.04164,1.0576,nominal diameter - pitch; cutting-tap starting value,0.541266 * pitch; Unified basic internal thread profile,ASME B1.1 UNC coarse series,https://www.flangeboltchart.com/thread/dimensions,2026-07-26-v2,engineering_dataset_not_certified
unified-unc-9_16-12,unified,UNC,9/16,9/16-12 UNC,0.5625,14.287,12,0.083333,2.1167,60,0.4723,11.996,0.4792,12.171,0.04511,1.1457,nominal diameter - pitch; cutting-tap starting value,0.541266 * pitch; Unified basic internal thread profile,ASME B1.1 UNC coarse series,https://www.flangeboltchart.com/thread/dimensions,2026-07-26-v2,engineering_dataset_not_certified
unified-unc-5_8-11,unified,UNC,5/8,5/8-11 UNC,0.6250,15.875,11,0.090909,2.3091,60,0.5266,13.375,0.5341,13.566,0.04921,1.2498,nominal diameter - pitch; cutting-tap starting value,0.541266 * pitch; Unified basic internal thread profile,ASME B1.1 UNC coarse series,https://www.flangeboltchart.com/thread/dimensions,2026-07-26-v2,engineering_dataset_not_certified
unified-unc-3_4-10,unified,UNC,3/4,3/4-10 UNC,0.7500,19.050,10,0.100000,2.5400,60,0.6417,16.300,0.6500,16.510,0.05413,1.3748,nominal diameter - pitch; cutting-tap starting value,0.541266 * pitch; Unified basic internal thread profile,ASME B1.1 UNC coarse series,https://www.flangeboltchart.com/thread/dimensions,2026-07-26-v2,engineering_dataset_not_certified
unified-unc-7_8-9,unified,UNC,7/8,7/8-9 UNC,0.8750,22.225,9,0.111111,2.8222,60,0.7547,19.170,0.7639,19.403,0.06014,1.5276,nominal diameter - pitch; cutting-tap starting value,0.541266 * pitch; Unified basic internal thread profile,ASME B1.1 UNC coarse series,https://www.flangeboltchart.com/thread/dimensions,2026-07-26-v2,engineering_dataset_not_certified
unified-unc-1-8,unified,UNC,1,1-8 UNC,1.0000,25.400,8,0.125000,3.1750,60,0.8647,21.963,0.8750,22.225,0.06766,1.7185,nominal diameter - pitch; cutting-tap starting value,0.541266 * pitch; Unified basic internal thread profile,ASME B1.1 UNC coarse series,https://www.flangeboltchart.com/thread/dimensions,2026-07-26-v2,engineering_dataset_not_certified
unified-unc-1-1_8-7,unified,UNC,1 1/8,1 1/8-7 UNC,1.1250,28.575,7,0.142857,3.6286,60,0.9704,24.647,0.9821,24.946,0.07732,1.9640,nominal diameter - pitch; cutting-tap starting value,0.541266 * pitch; Unified basic internal thread profile,ASME B1.1 UNC coarse series,https://www.flangeboltchart.com/thread/dimensions,2026-07-26-v2,engineering_dataset_not_certified
unified-unc-1-1_4-7,unified,UNC,1 1/4,1 1/4-7 UNC,1.2500,31.750,7,0.142857,3.6286,60,1.0954,27.822,1.1071,28.121,0.07732,1.9640,nominal diameter - pitch; cutting-tap starting value,0.541266 * pitch; Unified basic internal thread profile,ASME B1.1 UNC coarse series,https://www.flangeboltchart.com/thread/dimensions,2026-07-26-v2,engineering_dataset_not_certified
unified-unc-1-3_8-6,unified,UNC,1 3/8,1 3/8-6 UNC,1.3750,34.925,6,0.166667,4.2333,60,1.1946,30.342,1.2083,30.692,0.09021,2.2914,nominal diameter - pitch; cutting-tap starting value,0.541266 * pitch; Unified basic internal thread profile,ASME B1.1 UNC coarse series,https://www.flangeboltchart.com/thread/dimensions,2026-07-26-v2,engineering_dataset_not_certified
unified-unc-1-1_2-6,unified,UNC,1 1/2,1 1/2-6 UNC,1.5000,38.100,6,0.166667,4.2333,60,1.3196,33.517,1.3333,33.867,0.09021,2.2914,nominal diameter - pitch; cutting-tap starting value,0.541266 * pitch; Unified basic internal thread profile,ASME B1.1 UNC coarse series,https://www.flangeboltchart.com/thread/dimensions,2026-07-26-v2,engineering_dataset_not_certified
unified-unc-1-3_4-5,unified,UNC,1 3/4,1 3/4-5 UNC,1.7500,44.450,5,0.200000,5.0800,60,1.5335,38.951,1.5500,39.370,0.10825,2.7496,nominal diameter - pitch; cutting-tap starting value,0.541266 * pitch; Unified basic internal thread profile,ASME B1.1 UNC coarse series,https://www.flangeboltchart.com/thread/dimensions,2026-07-26-v2,engineering_dataset_not_certified
