id,family,series,designation,display_name,nominal_diameter_mm,pitch_mm,tpi,profile_angle_deg,tap_drill_mm,radial_thread_depth_mm,is_default_pitch,tap_drill_basis,depth_basis,standard_reference,source_url,data_version,verification_status
unified-unf-1_4-28,unified,UNF,1/4,1/4-28 UNF,6.350,0.9071,28,60,5.443,0.4910,true,nominal diameter - pitch; cutting-tap starting value,0.541266 * pitch; Unified basic internal thread profile,ASME B1.1 UNF fine series,https://www.flangeboltchart.com/thread/dimensions,2026-07-26-v2,engineering_dataset_not_certified
unified-unf-5_16-24,unified,UNF,5/16,5/16-24 UNF,7.938,1.0583,24,60,6.879,0.5728,true,nominal diameter - pitch; cutting-tap starting value,0.541266 * pitch; Unified basic internal thread profile,ASME B1.1 UNF fine series,https://www.flangeboltchart.com/thread/dimensions,2026-07-26-v2,engineering_dataset_not_certified
unified-unf-3_8-24,unified,UNF,3/8,3/8-24 UNF,9.525,1.0583,24,60,8.467,0.5728,true,nominal diameter - pitch; cutting-tap starting value,0.541266 * pitch; Unified basic internal thread profile,ASME B1.1 UNF fine series,https://www.flangeboltchart.com/thread/dimensions,2026-07-26-v2,engineering_dataset_not_certified
unified-unf-7_16-20,unified,UNF,7/16,7/16-20 UNF,11.112,1.2700,20,60,9.842,0.6874,true,nominal diameter - pitch; cutting-tap starting value,0.541266 * pitch; Unified basic internal thread profile,ASME B1.1 UNF fine series,https://www.flangeboltchart.com/thread/dimensions,2026-07-26-v2,engineering_dataset_not_certified
unified-unf-1_2-20,unified,UNF,1/2,1/2-20 UNF,12.700,1.2700,20,60,11.430,0.6874,true,nominal diameter - pitch; cutting-tap starting value,0.541266 * pitch; Unified basic internal thread profile,ASME B1.1 UNF fine series,https://www.flangeboltchart.com/thread/dimensions,2026-07-26-v2,engineering_dataset_not_certified
unified-unf-9_16-18,unified,UNF,9/16,9/16-18 UNF,14.287,1.4111,18,60,12.876,0.7638,true,nominal diameter - pitch; cutting-tap starting value,0.541266 * pitch; Unified basic internal thread profile,ASME B1.1 UNF fine series,https://www.flangeboltchart.com/thread/dimensions,2026-07-26-v2,engineering_dataset_not_certified
unified-unf-5_8-18,unified,UNF,5/8,5/8-18 UNF,15.875,1.4111,18,60,14.464,0.7638,true,nominal diameter - pitch; cutting-tap starting value,0.541266 * pitch; Unified basic internal thread profile,ASME B1.1 UNF fine series,https://www.flangeboltchart.com/thread/dimensions,2026-07-26-v2,engineering_dataset_not_certified
unified-unf-3_4-16,unified,UNF,3/4,3/4-16 UNF,19.050,1.5875,16,60,17.462,0.8593,true,nominal diameter - pitch; cutting-tap starting value,0.541266 * pitch; Unified basic internal thread profile,ASME B1.1 UNF fine series,https://www.flangeboltchart.com/thread/dimensions,2026-07-26-v2,engineering_dataset_not_certified
unified-unf-7_8-14,unified,UNF,7/8,7/8-14 UNF,22.225,1.8143,14,60,20.411,0.9820,true,nominal diameter - pitch; cutting-tap starting value,0.541266 * pitch; Unified basic internal thread profile,ASME B1.1 UNF fine series,https://www.flangeboltchart.com/thread/dimensions,2026-07-26-v2,engineering_dataset_not_certified
unified-unf-1-12,unified,UNF,1,1-12 UNF,25.400,2.1167,12,60,23.283,1.1457,true,nominal diameter - pitch; cutting-tap starting value,0.541266 * pitch; Unified basic internal thread profile,ASME B1.1 UNF fine series,https://www.flangeboltchart.com/thread/dimensions,2026-07-26-v2,engineering_dataset_not_certified
unified-unf-1-1_8-12,unified,UNF,1 1/8,1 1/8-12 UNF,28.575,2.1167,12,60,26.458,1.1457,true,nominal diameter - pitch; cutting-tap starting value,0.541266 * pitch; Unified basic internal thread profile,ASME B1.1 UNF fine series,https://www.flangeboltchart.com/thread/dimensions,2026-07-26-v2,engineering_dataset_not_certified
unified-unf-1-1_4-12,unified,UNF,1 1/4,1 1/4-12 UNF,31.750,2.1167,12,60,29.633,1.1457,true,nominal diameter - pitch; cutting-tap starting value,0.541266 * pitch; Unified basic internal thread profile,ASME B1.1 UNF fine series,https://www.flangeboltchart.com/thread/dimensions,2026-07-26-v2,engineering_dataset_not_certified
unified-unf-1-3_8-12,unified,UNF,1 3/8,1 3/8-12 UNF,34.925,2.1167,12,60,32.808,1.1457,true,nominal diameter - pitch; cutting-tap starting value,0.541266 * pitch; Unified basic internal thread profile,ASME B1.1 UNF fine series,https://www.flangeboltchart.com/thread/dimensions,2026-07-26-v2,engineering_dataset_not_certified
unified-unf-1-1_2-12,unified,UNF,1 1/2,1 1/2-12 UNF,38.100,2.1167,12,60,35.983,1.1457,true,nominal diameter - pitch; cutting-tap starting value,0.541266 * pitch; Unified basic internal thread profile,ASME B1.1 UNF fine series,https://www.flangeboltchart.com/thread/dimensions,2026-07-26-v2,engineering_dataset_not_certified
